"site","scale","area.Arable and horticulture","area.Broadleaf woodland","area.Coniferous woodland","area.Improved grassland"
"ST7558434794",1500,0.180811748374375,0.142979295071155,0.433311529287249,0.220953128787505
"ST7564432574",1500,0.0121310325397045,0.239038480941774,0.263088811744704,0.462506161011501
"ST7606434794",1500,0.268689878980341,0.139573296054781,0.305588510117246,0.251345111010978
"ST7576432574",1500,0.0241669851477662,0.234015179383123,0.243147238410166,0.472295616989568
"ST7498434734",1500,0.0729757212848205,0.17272342733936,0.459012069889086,0.275677929328033
"ST7504434734",1500,0.0767582857953507,0.169189683589487,0.463436704753996,0.268970298752081
"ST7552434734",1500,0.15862021106881,0.146479193416792,0.439495364149297,0.233460932885386
"ST7558434734",1500,0.171429007471407,0.145853840378052,0.42958328032926,0.231189573341567
"ST7534434914",1500,0.14457921438303,0.132540480452733,0.477131115276435,0.223804891408088
"ST7618432694",1500,0.0932187133755183,0.212904470195879,0.162367913027265,0.494870139713975
"ST7540434914",1500,0.157358454414585,0.132710785253525,0.470518633770853,0.217467828081323
"ST7600434914",1500,0.272339284392905,0.144206596915862,0.3279817620064,0.227115066688811
"ST7492434854",1500,0.0751787161371422,0.160204670020834,0.460668701899334,0.291836991377355
"ST7522434854",1500,0.114583845890652,0.14231476286341,0.479699112482599,0.241457980283625
"ST7540434854",1500,0.149749784634251,0.138321388410857,0.466755643081342,0.223228885393835
"ST7552432694",1500,0.0113195669246203,0.241424776695621,0.277419669151522,0.445154050556314
"ST7546434854",1500,0.162749648729289,0.13992910065086,0.458567377739689,0.216809574400448
"ST7606434854",1500,0.273639628566109,0.140577268376917,0.307941009690362,0.244916093424267
"ST7504434974",1500,0.0966115603301356,0.141957635028643,0.469688087855231,0.278450384983824
"ST7522434974",1500,0.127294340686323,0.133917528261187,0.479300374355047,0.239664184726326
"ST7528434974",1500,0.139153808559542,0.13074936329796,0.478785441706585,0.22977014229534
"ST7588434974",1500,0.261555005671823,0.142184050132379,0.367943268357045,0.206069558340375
"ST7597532791",1500,0.0587188093271161,0.227633271318666,0.21762668512558,0.461299380945235
