plot,grid_ref,filename,species,probability,actual_date,session_date,day,month,year,time,scientific_name,english_name,group,guild,warnings,classifier_code,manual_check
62,ST7552732701,ST7552732701__0__20210815_211513_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:15:13,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211519_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:15:19,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211954_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:19:54,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_220634_Barbar.wav,Barbar,0.98,15/08/2021,15/08/2021,15,8,2021,22:06:34,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_220646_Barbar.wav,Barbar,0.97,15/08/2021,15/08/2021,15,8,2021,22:06:46,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_221730_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,22:17:30,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_221740_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,22:17:40,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_224302_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,22:43:02,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_230208_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,23:02:08,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_233714_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,23:37:14,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210816_012716_Barbar.wav,Barbar,0.99,16/08/2021,15/08/2021,15,8,2021,01:27:16,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210816_014015_Barbar.wav,Barbar,0.99,16/08/2021,15/08/2021,15,8,2021,01:40:15,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210816_014021_Barbar.wav,Barbar,0.98,16/08/2021,15/08/2021,15,8,2021,01:40:21,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210816_031140_Barbar.wav,Barbar,0.99,16/08/2021,15/08/2021,15,8,2021,03:11:40,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210823_203909_Barbar.wav,Barbar,0.99,23/08/2021,23/08/2021,23,8,2021,20:39:09,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210823_203915_Barbar.wav,Barbar,0.99,23/08/2021,23/08/2021,23,8,2021,20:39:15,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210823_204022_Barbar.wav,Barbar,0.99,23/08/2021,23/08/2021,23,8,2021,20:40:22,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210823_204027_Barbar.wav,Barbar,0.99,23/08/2021,23/08/2021,23,8,2021,20:40:27,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
